# Position_mm,Temperature_K,H,O,H2,O2,OH,H2O,N2,N,NO,HO2,H2O2,AR,OH*,HE
1.666666666666666519e+00,3.000000000000000000e+02,-9.283153332497208187e-26,-6.365920432456298971e-20,2.852214669990387613e-02,2.263520957598026406e-01,-9.899545826692918543e-23,1.211434211539227639e-19,7.450974971295628579e-01,6.134275838368268437e-20,1.448490717397463062e-20,1.071369072960175300e-19,-3.131637142234674871e-20,2.826041073068353806e-05,3.375173219739294762e-69,0.000000000000000000e+00
1.805555555555555580e+00,3.000000000000000000e+02,-9.092695705051529841e-26,-6.235456621637383377e-20,2.852214669990387613e-02,2.263520957598026406e-01,-9.696224053017597507e-23,1.209005075253065285e-19,7.450974971295628579e-01,6.038745445165646882e-20,1.653228380340586795e-20,1.062444269855632877e-19,-3.131322723882557929e-20,2.826041073068353806e-05,3.425906533538944577e-69,0.000000000000000000e+00
1.944444444444444420e+00,3.000000000000000000e+02,-8.905623060919735491e-26,-6.107139429782100943e-20,2.852214669990387613e-02,2.263520957598026406e-01,-9.496776305585273324e-23,1.206626580302559430e-19,7.450974971295628579e-01,5.944704351065387240e-20,1.854774222450414063e-20,1.053704681473581325e-19,-3.131010219830756108e-20,2.826041073068353806e-05,3.439497729369897365e-69,0.000000000000000000e+00
2.083333333333333481e+00,3.000000000000000000e+02,-8.721711872437221622e-26,-5.980934952012788161e-20,2.852214669990387613e-02,2.263520957598026406e-01,-9.300783580766790190e-23,1.204297852057138099e-19,7.450974971295628579e-01,5.852129314569076023e-20,2.053178054246353994e-20,1.045147181619026454e-19,-3.130699617481489605e-20,2.826041073068353806e-05,3.429855118713109033e-69,0.000000000000000000e+00
2.222222222222222321e+00,3.000000000000000000e+02,-8.540856951045391826e-26,-5.856809814527511371e-20,2.852214669990387613e-02,2.263520957598026406e-01,-9.108075057785188173e-23,1.202018055778921680e-19,7.450974971295628579e-01,5.760997457226848169e-20,2.248488908171848552e-20,1.036768741924992693e-19,-3.130390904370267413e-20,2.826041073068353806e-05,3.408136288390951680e-69,0.000000000000000000e+00
2.361111111111111160e+00,3.000000000000000000e+02,-8.362992047077886518e-26,-5.734731166291553227e-20,2.852214669990387613e-02,2.263520957598026406e-01,-8.918561052815013305e-23,1.199786378396963681e-19,7.450974971295628579e-01,5.671286257961196037e-20,2.440755050759454866e-20,1.028566397632049984e-19,-3.130084068151406735e-20,2.826041073068353806e-05,3.379843646504503781e-69,0.000000000000000000e+00
2.500000000000000000e+00,3.000000000000000000e+02,-8.188064069680750572e-26,-5.614666670858935535e-20,2.852214669990387613e-02,2.263520957598026406e-01,-8.732178789792175956e-23,1.197602022455000704e-19,7.450974971295628579e-01,5.582973547479584226e-20,2.630023994605590910e-20,1.020537235982051224e-19,-3.129779096592522420e-20,2.826041073068353806e-05,3.348186931952563471e-69,0.000000000000000000e+00
2.638888888888888840e+00,3.000000000000000000e+02,-8.016024703045471090e-26,-5.496584498321934591e-20,2.852214669990387613e-02,2.263520957598026406e-01,-8.548874773015467990e-23,1.195464204010701272e-19,7.450974971295628579e-01,5.496037502774499213e-20,2.816342510157876159e-20,1.012678391956187363e-19,-3.129475977571975101e-20,2.826041073068353806e-05,3.314694583517468025e-69,0.000000000000000000e+00
2.777777777777777679e+00,3.000000000000000000e+02,-7.846827672269045780e-26,-5.380453317386579409e-20,2.852214669990387613e-02,2.263520957598026406e-01,-8.368599046449198760e-23,1.193372151820240572e-19,7.450974971295628579e-01,5.410456641709564582e-20,2.999756637318051220e-20,1.004987046405718317e-19,-3.129174699077318417e-20,2.826041073068353806e-05,3.279366566870575406e-69,0.000000000000000000e+00
2.916666666666666963e+00,3.000000000000000000e+02,-7.680427845809578477e-26,-5.266242287572168413e-20,2.852214669990387613e-02,2.263520957598026406e-01,-8.191303317069521344e-23,1.191325106942745254e-19,7.450974971295628579e-01,5.326209817690364076e-20,3.180311696863323788e-20,9.974604249680088026e-20,-3.128875249204027901e-20,2.826041073068353806e-05,3.243731324397275386e-69,0.000000000000000000e+00
3.055555555555555802e+00,3.000000000000000000e+02,-7.516780935611291122e-26,-5.153921051532867211e-20,2.852214669990387613e-02,2.263520957598026406e-01,-8.016940335536609281e-23,1.189322322483377993e-19,7.450974971295628579e-01,5.243276214418651989e-20,3.358052301689019607e-20,9.900957972455054808e-20,-3.128577616154395973e-20,2.826041073068353806e-05,3.207177447607722755e-69,0.000000000000000000e+00
3.194444444444444642e+00,3.000000000000000000e+02,-7.355843391972490985e-26,-5.043459727499458515e-20,2.852214669990387613e-02,2.263520957598026406e-01,-7.845463686429731500e-23,1.187363063383571458e-19,7.450974971295628579e-01,5.161635340728642486e-20,3.533022367875302735e-20,9.828904760776634591e-20,-3.128281788236458238e-20,2.826041073068353806e-05,3.169399205646540235e-69,0.000000000000000000e+00
3.333333333333333037e+00,3.000000000000000000e+02,-7.197572361997797449e-26,-4.934828901839382690e-20,2.852214669990387613e-02,2.263520957598026406e-01,-7.676827712086704142e-23,1.185446606228607924e-19,7.450974971295628579e-01,5.081267025504103122e-20,3.705265125580749892e-20,9.758418168503726921e-20,-3.127987753862912556e-20,2.826041073068353806e-05,3.131313658402212927e-69,0.000000000000000000e+00
3.472222222222221877e+00,3.000000000000000000e+02,-7.041925668902900456e-26,-4.827999621733200754e-20,2.852214669990387613e-02,2.263520957598026406e-01,-7.510987480141687774e-23,1.183572239062789227e-19,7.450974971295628579e-01,5.002151412674966989e-20,3.874823129765477608e-20,9.689472168247088036e-20,-3.127695501550122374e-20,2.826041073068353806e-05,3.092615096712527617e-69,0.000000000000000000e+00
3.611111111111111160e+00,3.000000000000000000e+02,-6.888861798237379857e-26,-4.722943387965661051e-20,2.852214669990387613e-02,2.263520957598026406e-01,-7.347898765445425994e-23,1.181739261209004326e-19,7.450974971295628579e-01,4.924268956292238739e-20,4.041738270746478731e-20,9.622041144789757137e-20,-3.127405019917045427e-20,2.826041073068353806e-05,3.053303496289316007e-69,0.000000000000000000e+00
3.750000000000000000e+00,3.000000000000000000e+02,-6.738339886476987320e-26,-4.619632147829579078e-20,2.852214669990387613e-02,2.263520957598026406e-01,-7.187518036800313605e-23,1.179946983091603697e-19,7.450974971295628579e-01,4.847600415679954054e-20,4.206051784587821890e-20,9.556099888619507983e-20,-3.127116297684234661e-20,2.826041073068353806e-05,3.013378838112526277e-69,0.000000000000000000e+00
3.888888888888888840e+00,3.000000000000000000e+02,-6.590319710498473104e-26,-4.518038288140766425e-20,2.852214669990387613e-02,2.263520957598026406e-01,-7.029802445384251670e-23,1.178194726062211967e-19,7.450974971295628579e-01,4.772126850662994867e-20,4.367804263328268153e-20,9.491623589565560711e-20,-3.126829323672815085e-20,2.826041073068353806e-05,2.973146801000315464e-69,0.000000000000000000e+00
4.027777777777777679e+00,3.000000000000000000e+02,-6.444761677449315786e-26,-4.418134628362254439e-20,2.852214669990387613e-02,2.263520957598026406e-01,-6.874709813840100393e-23,1.176481822228318464e-19,7.450974971295628579e-01,4.697829616869569893e-20,4.527035665048888057e-20,9.428587830535870524e-20,-3.126544086803482287e-20,2.826041073068353806e-05,2.932913069008206602e-69,0.000000000000000000e+00
