#time,T,H,O,H2,O2,OH,H2O,N2,N,NO,HO2,H2O2,AR,OH*,HE
0.0008220000000000135,2128.765894111176,1.7135671092029283e-06,0.00024050404090505037,2.1001896945347376e-05,0.12523362469683208,0.00248241185714538,0.11500194293682586,0.7569615382587209,9.80529202519819e-10,2.2961264063701622e-05,5.3018751503726994e-06,2.878231197101352e-07,2.8710802273558637e-05,3.793611844770674e-13,0.0
0.0008230000000000135,2128.7686487678993,1.7130041257050007e-06,0.00024045132491254845,2.0997294913351903e-05,0.1252337499452481,0.002482147397981712,0.11500212923785601,0.7569615286073496,9.803354391587272e-10,2.298193978735709e-05,5.301703626804871e-06,2.8776121027511585e-07,2.8710802273558637e-05,3.792638026647382e-13,0.0
0.0008240000000000135,2128.7713840805973,1.7124451387625824e-06,0.00024039897707750483,2.0992725044051427e-05,0.1252338742596364,0.0024818847541669695,0.11500231425371907,0.7569615189578787,9.801430390978148e-10,2.300261143717815e-05,5.301533371375022e-06,2.876997340202415e-07,2.8710802273558637e-05,3.7916712259233775e-13,0.0
0.0008250000000000135,2128.774100185887,1.7118901187921238e-06,0.0002403469947538135,2.098818710615785e-05,0.12523399764651036,0.0024816239130649167,0.11500249799344327,0.7569615093102949,9.799519926320828e-10,2.3023279041189782e-05,5.301364373860896e-06,2.876386878243334e-07,2.8710802273558637e-05,3.790711389090512e-13,0.0
0.0008260000000000136,2128.7767972188753,1.711339036589183e-06,0.0002402953753264165,2.0983680871160558e-05,0.12523412011231574,0.0024813648621711654,0.11500268046595877,0.7569614996645855,9.797622901670049e-10,2.3043942627133856e-05,5.301196623793995e-06,2.8757806860188596e-07,2.8710802273558637e-05,3.7897584633845053e-13,0.0
0.0008270000000000136,2128.7794753148332,1.7107918628543247e-06,0.0002402441161749673,2.097920610995082e-05,0.12523424166349997,0.00248110758897598,0.11500286168020457,0.7569614900207374,9.795739220924564e-10,2.306460222274562e-05,5.30103011155194e-06,2.875178732635861e-07,2.8710802273558637e-05,3.788812395805042e-13,0.0
0.0008280000000000136,2128.782134607537,1.7102485686630724e-06,0.00024019321470984556,2.097476259616958e-05,0.12523436230644344,0.0024808520811001734,0.11500304164502266,0.756961480378738,9.793868789076648e-10,2.3085257855480095e-05,5.300864827262439e-06,2.8745809875540266e-07,2.8710802273558637e-05,3.787873134086993e-13,0.0
0.0008290000000000136,2128.784775229788,1.7097091253185018e-06,0.0002401426683608581,2.0970350105158532e-05,0.1252344820474811,0.002480598326252414,0.11500322036919121,0.7569614707385744,9.79201151182005e-10,2.31059095525982e-05,5.300700761138339e-06,2.873987420462957e-07,2.8710802273558637e-05,3.7869406263957113e-13,0.0
0.0008300000000000137,2128.7873973134224,1.7091735043488415e-06,0.00024009247457705324,2.0965968413943895e-05,0.12523460089290295,0.0024803463122284853,0.11500339786142516,0.7569614611002341,9.79016729554353e-10,2.312655734116838e-05,5.300537903476542e-06,2.873398001279935e-07,2.8710802273558637e-05,3.786014821322021e-13,0.0
0.0008310000000000137,2128.7900009893197,1.7086416775050749e-06,0.00024004263082653466,2.0961617301220216e-05,0.1252347188489543,0.002480096026910539,0.11500357413037678,0.7569614514637044,9.788336047324404e-10,2.3147201248068236e-05,5.300376244656923e-06,2.8728127001477047e-07,2.8710802273558637e-05,3.785095667877209e-13,0.0
0.0008320000000000137,2128.7925863874116,1.7081136167585397e-06,0.000239993134596276,2.0957296547334136e-05,0.12523483592183615,0.0024798474582663544,0.11500374918463621,0.756961441828973,9.786517674922065e-10,2.3167841299986155e-05,5.300215775141242e-06,2.8722314874322433e-07,2.8710802273558637e-05,3.7841831154880147e-13,0.0
0.0008330000000000137,2128.7951536364603,1.707589294379848e-06,0.00023994398339724344,2.095300593470713e-05,0.12523495211769614,0.0024796005943664044,0.11500392303271793,0.7569614321960275,9.784712086939948e-10,2.3188477523384173e-05,5.300056485555196e-06,2.871654333790089e-07,2.8710802273558637e-05,3.783277114200095e-13,0.0
0.0008340000000000138,2128.797702864158,1.7070686829056197e-06,0.000239895174762195,2.0948745247652665e-05,0.1252350674426324,0.0024793554233763526,0.11500409568306667,0.7569614225648557,9.782919192755139e-10,2.320910994451433e-05,5.299898366655779e-06,2.8710812101397154e-07,2.8710802273558637e-05,3.782377614593883e-13,0.0
0.0008350000000000138,2128.800234197839,1.7065517548842624e-06,0.0002398467062290549,2.094451427100072e-05,0.12523518190272379,0.0024791119335011466,0.11500426714410167,0.7569614129354452,9.781138901990317e-10,2.322973858954031e-05,5.299741409072756e-06,2.8705120874439183e-07,2.8710802273558637e-05,3.7814845671339727e-13,0.0
0.0008360000000000138,2128.802747763633,1.7060384831795608e-06,0.0002397985753607037,2.094031279173322e-05,0.12523529550399407,0.0024788701130513025,0.11500443742416414,0.7569614033077842,9.779371125141067e-10,2.3250363484393252e-05,5.2995856036203945e-06,2.8699469369693064e-07,2.8710802273558637e-05,3.7805979229485853e-13,0.0
0.0008370000000000138,2128.8052436867497,1.705528840868192e-06,0.00023975077973825872,2.0936140598427592e-05,0.12523540825242416,0.0024786299504202364,0.11500460653153517,0.7569613936818604,9.777615773362116e-10,2.3270984654821047e-05,5.299430941194065e-06,2.869385730198474e-07,2.8710802273558637e-05,3.7797176335679625e-13,0.0
0.0008380000000000139,2128.8077220914925,1.7050228012375764e-06,0.00023970331696090427,2.0931997481241895e-05,0.12523552015395253,0.0024783914340835754,0.11500477447443631,0.7569613840576621,9.775872758461376e-10,2.3291602126389877e-05,5.299277412769413e-06,2.868828438827986e-07,2.8710802273558637e-05,3.77884365092e-13,0.0
0.0008390000000000139,2128.810183101262,1.7045203377837282e-06,0.0002396561846457225,2.0927883231899955e-05,0.12523563121447548,0.00247815455259847,0.11500494126103002,0.7569613744351774,9.774141992894007e-10,2.331221592448571e-05,5.299125009401522e-06,2.868275034766368e-07,2.8710802273558637e-05,3.777975927325874e-13,0.0
0.0008400000000000139,2128.8126268385663,1.7040214242091059e-06,0.00023960938042752355,2.09237976436765e-05,0.12523574143984753,0.002477919294602902,0.11500510689942017,0.7569613648143945,9.772423389756457e-10,2.333282607431582e-05,5.298973722224097e-06,2.867725490132093e-07,2.8710802273558637e-05,3.777114415495676e-13,0.0
0.0008410000000000139,2128.815053424837,1.7035260344760362e-06,0.00023956290196313086,2.09197405117647e-05,0.12523585083587363,0.0024776856488303916,0.11500527139764062,0.7569613551953018,9.77071686294012e-10,2.3353432600876777e-05,5.298823542432686e-06,2.867179777298234e-07,2.8710802273558637e-05,3.776259068616275e-13,0.0
0.000842000000000014,2128.8174629806676,1.7030341427371959e-06,0.00023951674692581143,2.091571163279773e-05,0.12523595940831936,0.002477453604090647,0.11500543476367023,0.7569613455778876,9.76902232693192e-10,2.3374035528996585e-05,5.298674461303179e-06,2.866637868833883e-07,2.8710802273558637e-05,3.775409840235137e-13,0.0
0.000843000000000014,2128.819855626026,1.702545723275769e-06,0.00023947091300048198,2.0911710804436876e-05,0.12523606716291988,0.002477223149252895,0.11500559700544594,0.7569613359621405,9.767339696642636e-10,2.3394634883370984e-05,5.29852647020753e-06,2.866099737453699e-07,2.8710802273558637e-05,3.7745666841602006e-13,0.0
0.000844000000000014,2128.8222314798677,1.702060750616245e-06,0.00023942539789259263,2.0907737826133915e-05,0.12523617410536358,0.0024769942732764763,0.11500575813083877,0.756961326348049,9.765668887725358e-10,2.3415230688496858e-05,5.29837956058053e-06,2.8655653561107294e-07,2.8710802273558637e-05,3.773729554642964e-13,0.0
0.000845000000000014,2128.8245906602874,1.7015791994810874e-06,0.0002393801993246568,2.0903792498832847e-05,0.12523628024129857,0.002476766965198751,0.11500591814766334,0.7569613167356019,9.764009816451269e-10,2.343582296869856e-05,5.298233723930788e-06,2.865034697959825e-07,2.8710802273558637e-05,3.7728984063057707e-13,0.0
0.0008460000000000141,2128.826933284527,1.7011010447887114e-06,0.00023933531503609159,2.089987462495592e-05,0.12523638557633293,0.0024765412141344433,0.11500607706367824,0.7569613071247877,9.76236239970404e-10,2.3456411748129363e-05,5.298088951839871e-06,2.8645077363557305e-07,2.8710802273558637e-05,3.772073194137648e-13,0.0
0.0008470000000000141,2128.8292594689838,1.7006262616514585e-06,0.00023929074278305828,2.08959840083896e-05,0.12523649011603513,0.0024763170092749875,0.11500623488658662,0.7569612975155954,9.760726554974257e-10,2.3476997050772894e-05,5.2979452359614345e-06,2.8639844448511773e-07,2.8710802273558637e-05,3.7712538734901424e-13,0.0
0.0008480000000000141,2128.831569329216,1.7001548253735726e-06,0.0002392464803383029,2.089212045447057e-05,0.12523659386593436,0.0024760943398878747,0.11500639162403664,0.7569612879080138,9.75910220035382e-10,2.3497578900444548e-05,5.297802568020363e-06,2.863464797194979e-07,2.8710802273558637e-05,3.770440400073158e-13,0.0
