# Position_mm,Temperature_K,H,O,H2,O2,OH,H2O,N2,N,NO,HO2,H2O2,AR,OH*,HE
5.208333333333333703e-01,3.000000000000000568e+02,-2.138996410281897865e-25,-2.945156593984597805e-19,1.303951931042422394e-02,2.299595121775541706e-01,-4.241400374856096469e-22,1.836779376883108027e-18,7.569722577097480753e-01,-7.839287961072379466e-19,5.095000573269490233e-18,1.578278110799344990e-17,-8.066068614456434003e-18,2.871080227355863657e-05,-6.078888825379403929e-46,-3.509309240554940419e-49
5.729166666666666297e-01,3.000000000000000568e+02,-2.390292637776071449e-25,-3.282316408071159343e-19,1.303951931042422220e-02,2.299595121775541706e-01,-4.753211389563405135e-22,1.835237667932714372e-18,7.569722577097480753e-01,-7.528478202063036176e-19,5.027318685259449599e-18,1.577703929411801506e-17,-8.066097911888198127e-18,2.871080227355863657e-05,-6.223526532543420914e-46,-2.757126049597521384e-49
6.250000000000000000e-01,3.000000000000000568e+02,-2.632476921648434020e-25,-3.604155543072040208e-19,1.303951931042422394e-02,2.299595121775541706e-01,-5.251144479378839254e-22,1.833544644329147805e-18,7.569722577097480753e-01,-7.230022694270244305e-19,4.962327330037219964e-18,1.577074313195476753e-17,-8.066127150672810076e-18,2.871080227355863657e-05,-6.353053614257327829e-46,-2.135205883285380637e-49
6.770833333333333703e-01,3.000000000000000568e+02,-2.864527512338639476e-25,-3.911292755592591076e-19,1.303951931042422394e-02,2.299595121775541706e-01,-5.730110404802830977e-22,1.831706538627543305e-18,7.569722577097480753e-01,-6.943429008631517333e-19,4.899919254950758404e-18,1.576391671527801961e-17,-8.066156331483843048e-18,2.871080227355863657e-05,-6.467982048150025345e-46,-1.632490569482554867e-49
7.291666666666667407e-01,3.000000000000000568e+02,-3.086299270945451495e-25,-4.204322033919851124e-19,1.303951931042422394e-02,2.299595121775541706e-01,-6.188621033142243682e-22,1.829729735475827446e-18,7.569722577097480753e-01,-6.668224400701528487e-19,4.839991495040969945e-18,1.575658396124036704e-17,-8.066185454109783713e-18,2.871080227355863657e-05,-6.569001594137087010e-46,-1.234442470606375610e-49
7.812500000000000000e-01,3.000000000000000568e+02,-3.297986256986492224e-25,-4.483813592024790315e-19,1.303951931042422394e-02,2.299595121775541706e-01,-6.626603113417118508e-22,1.827620503502589616e-18,7.569722577097480753e-01,-6.403955021965382766e-19,4.782445201136199015e-18,1.574876813582290978e-17,-8.066214517868902175e-18,2.871080227355863657e-05,-6.656868683687979040e-46,-9.251938614077359201e-50
8.333333333333333703e-01,3.000000000000000568e+02,-3.499907823628819093e-25,-4.750314823254360313e-19,1.303951931042422394e-02,2.299595121775541706e-01,-7.044527253474674780e-22,1.825384878294839924e-18,7.569722577097480753e-01,-6.150185163254354332e-19,4.727185474843514543e-18,1.574049168817475770e-17,-8.066243521849398486e-18,2.871080227355863657e-05,-6.732351327609632767e-46,-6.891014732956716103e-50
8.854166666666667407e-01,3.000000000000000000e+02,-3.692423674335742731e-25,-5.004351215568640877e-19,1.303951931042422394e-02,2.299595121775541706e-01,-7.443061217681488199e-22,1.823028861757939534e-18,7.569722577097480753e-01,-5.906496529350639926e-19,4.674121210149313623e-18,1.573177620698660667e-17,-8.066272465035487889e-18,2.871080227355863657e-05,-6.796203141182006564e-46,-5.117519712911882411e-50
9.375000000000001110e-01,3.000000000000000000e+02,-3.875900342882399888e-25,-5.246427230026066003e-19,1.303951931042422394e-02,2.299595121775541706e-01,-7.822932330272517501e-22,1.820558099974373081e-18,7.569722577097480753e-01,-5.672487544246270624e-19,4.623164941349470828e-18,1.572264242457018478e-17,-8.066301346370232359e-18,2.871080227355863657e-05,-6.849151782105120347e-46,-3.805127427108046793e-50
9.895833333333333703e-01,3.000000000000000000e+02,-4.050698178995811505e-25,-5.477027144069229672e-19,1.303951931042422394e-02,2.299595121775541706e-01,-8.184873293149203523e-22,1.817978152986493796e-18,7.569722577097480753e-01,-5.447772687182596110e-19,4.574232697040148696e-18,1.571311023908509865e-17,-8.066330164786087384e-18,2.871080227355863657e-05,-6.891894283030507678e-46,-2.847398840561000062e-50
1.041666666666666741e+00,3.000000000000000000e+02,-4.217166505942550540e-25,-5.696615860974336543e-19,1.303951931042422394e-02,2.299595121775541706e-01,-8.529601276024750418e-22,1.815294247646986613e-18,7.569722577097480753e-01,-5.231981860784819470e-19,4.527243859923383622e-18,1.570319874317182183e-17,-8.066358919219671548e-18,2.871080227355863657e-05,-6.925095598908371842e-46,-2.157513972235591461e-50
1.093750000000000000e+00,3.000000000000000000e+02,-4.375642027643045583e-25,-5.905639686513020387e-19,1.303951931042422394e-02,2.299595121775541706e-01,-8.857810266615069390e-22,1.812511398927305868e-18,7.569722577097480753e-01,-5.024759794768043987e-19,4.482121032243032403e-18,1.569292625434665343e-17,-8.066387608619060402e-18,2.871080227355863657e-05,-6.949388622456844345e-46,-1.666575198747236196e-50
