# Position_mm,Temperature_K,H2,H,O,O2,OH,H2O,HO2,H2O2,AR,N2
1.751342773437499645e+01,9.027060237246004135e+02,1.785851781558255025e-02,4.692710031226446669e-04,6.803753492040788380e-04,1.874180328817886820e-01,1.060602639307147051e-03,4.875403336342445243e-02,2.772270132928129839e-04,9.348807353984814436e-05,-2.788851865313904327e-15,7.433884518612996484e-01
1.751403808593749645e+01,9.062990129652695259e+02,1.779510513970719229e-02,4.756444096932256355e-04,6.952442230513865241e-04,1.870180143781479953e-01,1.064487261094005386e-03,4.922341939984434950e-02,2.750155215883601581e-04,9.187926859492193089e-05,-1.225666400507703693e-15,7.433611903996518722e-01
1.751464843750000000e+01,9.098848862325975233e+02,1.773162808852987368e-02,4.820493282090314237e-04,7.103508635149407592e-04,1.866154787351592681e-01,1.068535769063292448e-03,4.969482797437337063e-02,2.728340413244000756e-04,9.028508185867482080e-05,-3.073076725433075595e-15,7.433340101183102400e-01
1.751525878906250000e+01,9.134636262535461810e+02,1.766808794310155417e-02,4.884854213362741209e-04,7.256958966682291925e-04,1.862104126549724015e-01,1.072751015312158268e-03,5.016826176928075587e-02,2.706819722310479398e-04,8.870583875093827669e-05,-5.981283190114606752e-16,7.433069174895182707e-01
1.751586914062500000e+01,9.170352166089518278e+02,1.760448601239656893e-02,4.949523473015966617e-04,7.412798635490219648e-04,1.858028034110384419e-01,1.077135770877225016e-03,5.064372303877870407e-02,2.685587253806996926e-04,8.714184918365335203e-05,-1.569045859313338867e-15,7.432799189821318597e-01
1.751647949218750000e+01,9.205996416882060203e+02,1.754082363413186213e-02,5.014497597703701558e-04,7.571032195675111640e-04,1.853926388695892324e-01,1.081692726778822871e-03,5.112121359306657370e-02,2.664637230796491484e-04,8.559340773784451036e-05,-3.197032814184210629e-16,7.432530210674915816e-01
1.751708984375000000e+01,9.241568866455520492e+02,1.747710217515404535e-02,5.079773077169127743e-04,7.731663339364697749e-04,1.849799075064514631e-01,1.086424494973912448e-03,5.160073478167716970e-02,2.643963987086157862e-04,8.406079379990530202e-05,-1.461137578852259010e-15,7.432262302085494987e-01
1.751770019531250000e+01,9.277069373581405216e+02,1.741332303210574306e-02,5.145346353091196333e-04,7.894694891907959441e-04,1.845645984266272022e-01,1.091333609301400236e-03,5.208228747819800691e-02,2.623561966015151717e-04,8.254427174118876976e-05,-1.592587112240373488e-15,7.431995528618029478e-01
1.751831054687500000e+01,9.312497803857020244e+02,1.734948763185792039e-02,5.211213817912971856e-04,8.060128807449029468e-04,1.841467013812717046e-01,1.096422526357693434e-03,5.256587206487446651e-02,2.603425718964709305e-04,8.104409107675595138e-05,-1.349660963885362170e-15,7.431729954707351204e-01
1.751892089843750000e+01,9.347854029318189077e+02,1.728559743202922119e-02,5.277371813755862276e-04,8.227966165201385310e-04,1.837262067854087133e-01,1.101693626342701822e-03,5.305148841803713350e-02,2.583549904040937793e-04,7.956048664545736109e-05,2.375452386112902028e-17,7.431465644640570245e-01
