# time,O2,AR,O,H2O2,HO2,T,H2O,NO,N2,OH,H2,OH*,HE,N,H
5.4e-05,0.229957,2.92494e-05,8.23588e-08,3.85586e-08,6.52511e-06,1000.04,4.15386e-06,4.80673e-19,0.756964,3.22677e-08,0.0130386,6.04004e-19,0,3.28281e-21,2.16498e-08
5.5e-05,0.229957,2.92494e-05,8.47845e-08,4.13345e-08,6.80295e-06,1000.04,4.32973e-06,5.01968e-19,0.756964,3.32197e-08,0.0130386,6.39906e-19,0,3.3801199999999997e-21,2.22803e-08
5.6e-05,0.229956,2.92494e-05,8.72666e-08,4.42751e-08,7.08836e-06,1000.04,4.51082e-06,5.23889e-19,0.756964,3.41969e-08,0.0130386,6.77718e-19,0,3.47969e-21,2.29255e-08
5.7e-05,0.229956,2.92494e-05,8.98073e-08,4.73888e-08,7.38147e-06,1000.04,4.69727e-06,5.464500000000001e-19,0.756964,3.52002e-08,0.0130385,7.175500000000001e-19,0,3.58159e-21,2.35862e-08
5.8e-05,0.229955,2.92494e-05,9.2409e-08,5.06845e-08,7.68244e-06,1000.04,4.88921e-06,5.69667e-19,0.756964,3.62309e-08,0.0130385,7.59521e-19,0,3.68593e-21,2.42627e-08
5.9e-05,0.229955,2.92494e-05,9.50742e-08,5.41714e-08,7.99143e-06,1000.05,5.08681e-06,5.93555e-19,0.756964,3.72901e-08,0.0130385,8.03757e-19,0,3.792799999999999e-21,2.49559e-08
6e-05,0.229954,2.92494e-05,9.78054e-08,5.78594e-08,8.30859e-06,1000.05,5.29022e-06,6.18131e-19,0.756964,3.8379e-08,0.0130384,8.50391e-19,0,3.9023e-21,2.56665e-08
6.1e-05,0.229954,2.92494e-05,1.00605e-07,6.17588e-08,8.63411e-06,1000.05,5.49961e-06,6.43412e-19,0.756964,3.94991e-08,0.0130384,8.9957e-19,0,4.01455e-21,2.6395e-08
6.2e-05,0.229953,2.92494e-05,1.03477e-07,6.58801e-08,8.96816e-06,1000.05,5.71516e-06,6.694170000000001e-19,0.756964,4.06516e-08,0.0130384,9.51447e-19,0,4.1296599999999995e-21,2.71423e-08
6.3e-05,0.229953,2.92494e-05,1.06423e-07,7.02348e-08,9.31091e-06,1000.05,5.93704e-06,6.961630000000001e-19,0.756964,4.18381e-08,0.0130383,1.0061900000000002e-18,0,4.24775e-21,2.79092e-08
6.4e-05,0.229952,2.92494e-05,1.09447e-07,7.48346e-08,9.66255e-06,1000.06,6.16546e-06,7.236700000000001e-19,0.756964,4.30601e-08,0.0130383,1.06398e-18,0,4.36894e-21,2.86964e-08
6.5e-05,0.229952,2.92494e-05,1.12552e-07,7.96919e-08,1.00233e-05,1000.06,6.4006e-06,7.51959e-19,0.756964,4.43192e-08,0.0130383,1.125e-18,0,4.49337e-21,2.9505e-08
6.6e-05,0.229951,2.92494e-05,1.15742e-07,8.48198e-08,1.03933e-05,1000.06,6.64268e-06,7.81051e-19,0.756964,4.56171e-08,0.0130382,1.1894600000000002e-18,0,4.6211799999999996e-21,3.03357e-08
6.7e-05,0.22995,2.92494e-05,1.19021e-07,9.02319e-08,1.07728e-05,1000.06,6.89191e-06,8.10968e-19,0.756964,4.69558e-08,0.0130382,1.25758e-18,0,4.7525099999999996e-21,3.11896e-08
6.8e-05,0.22995,2.92494e-05,1.22391e-07,9.59426e-08,1.11621e-05,1000.07,7.14853e-06,8.41732e-19,0.756964,4.83371e-08,0.0130381,1.3296100000000002e-18,0,4.88752e-21,3.20677e-08
6.9e-05,0.229949,2.92494e-05,1.25858e-07,1.01967e-07,1.15613e-05,1000.07,7.41278e-06,8.73368e-19,0.756964,4.97629e-08,0.0130381,1.4057900000000001e-18,0,5.0263699999999996e-21,3.2971e-08
7e-05,0.229949,2.92494e-05,1.29425e-07,1.08321e-07,1.19707e-05,1000.07,7.6849e-06,9.05902e-19,0.756964,5.12356e-08,0.013038,1.4864100000000002e-18,0,5.1692399999999996e-21,3.39007e-08
7.1e-05,0.229948,2.92494e-05,1.33098e-07,1.1502e-07,1.23905e-05,1000.07,7.96515e-06,9.39358e-19,0.756964,5.27574e-08,0.013038,1.57176e-18,0,5.3163e-21,3.48581e-08
7.2e-05,0.229947,2.92494e-05,1.3688e-07,1.22083e-07,1.2821e-05,1000.08,8.25383e-06,9.73766e-19,0.756964,5.43307e-08,0.0130379,1.6621700000000001e-18,0,5.4677499999999994e-21,3.58443e-08
